time,sender_number,packets_received,packets_sent,packets_lost,sending_duration,total_delay
2.594204,0,0,1,0,0.000000,0.000000
3.048704,0,19,20,0,454.500000,960.500000
4.010204,0,69,73,0,1416.000000,3489.500000
5.023204,0,132,137,1,2429.000000,6673.000000
6.035704,0,175,177,1,3441.500000,8845.000000
7.000204,0,289,304,2,4406.000000,14620.500000
8.008204,0,498,507,2,5414.000000,25199.500000
9.021204,0,618,630,4,6427.000000,31269.500000
10.035204,0,721,729,6,7441.000000,36477.000000
11.048704,0,773,781,6,8454.500000,39106.000000
12.010204,0,880,898,7,9416.000000,44522.000000
13.026204,0,993,1002,7,10432.000000,50237.000000
14.042204,0,1075,1088,11,11448.000000,54386.000000
15.003704,0,1111,1125,11,12409.500000,56204.500000
16.016204,0,1175,1188,11,13422.000000,59438.500000
17.028204,0,1213,1226,12,14434.000000,61358.500000
18.039204,0,1259,1274,12,15445.000000,63682.500000
19.002204,0,1298,1313,14,16408.000000,65653.000000
20.014204,0,1390,1413,15,17420.000000,70309.000000
21.030204,0,1455,1473,15,18436.000000,73595.000000
22.043704,0,1514,1533,15,19449.500000,76576.500000
23.004704,0,1580,1597,15,20410.500000,79915.500000
24.019704,0,1649,1668,15,21425.500000,83403.500000
25.030204,0,1719,1738,15,22436.000000,86943.000000
26.045704,0,1827,1849,16,23451.500000,92409.000000
27.008704,0,1897,1916,18,24414.500000,95950.000000
28.020204,0,2002,2031,19,25426.000000,101265.500000
29.033204,0,2137,2167,21,26439.000000,108100.500000
30.000204,0,2314,2345,21,27406.000000,117059.500000
31.007204,0,2592,2630,24,28413.000000,131144.000000
32.019204,0,2825,2857,26,29425.000000,142924.500000
33.031204,0,3024,3061,26,30437.000000,152986.000000
34.000204,0,3295,3336,27,31406.000000,166702.000000
35.003704,0,3496,3535,29,32409.500000,176864.500000
36.019704,0,3744,3789,31,33425.500000,189405.000000
37.034704,0,4046,4096,35,34440.500000,204715.500000
38.001204,0,4389,4450,37,35407.000000,222100.500000
39.006204,0,4850,4917,40,36412.000000,245417.500000
40.016204,0,5583,5683,46,37422.000000,282636.000000
41.000204,0,6933,7058,55,38406.000000,351635.500000
42.002704,0,8104,8214,65,39408.500000,410913.500000
43.000204,0,9029,9152,74,40406.000000,457759.000000
44.000204,0,10077,10216,82,41406.000000,510919.000000
45.000204,0,11168,11328,89,42406.000000,566221.000000
46.000204,0,12757,12949,102,43406.000000,647292.500000
47.000204,0,14683,14983,189,44406.000000,750349.500000
48.000204,0,16493,16820,247,45406.000000,845387.500000
49.000204,0,17864,18166,258,46406.000000,914916.000000
50.014204,0,18497,18784,264,47420.000000,946941.000000
51.003204,0,18799,19077,266,48409.000000,962201.000000
52.015704,0,19149,19441,266,49421.500000,979986.000000
53.000204,0,19976,20318,273,50406.000000,1022162.500000
54.000204,0,21706,22183,345,51406.000000,1113564.500000
55.000204,0,23681,24312,529,52406.000000,1220458.000000
56.001704,0,24967,25554,548,53407.500000,1285881.000000
57.000204,0,25612,26191,555,54406.000000,1318523.000000
58.012204,0,25986,26571,561,55418.000000,1337446.000000
59.003704,0,26677,27287,567,56409.500000,1372480.000000
60.000204,0,27807,28466,581,57406.000000,1430040.000000
61.000204,0,29708,30627,776,58406.000000,1532104.500000
62.000204,0,31539,32629,1021,59406.000000,1628968.000000
63.000204,0,32615,33685,1029,60406.000000,1683539.500000
64.000204,0,33414,34488,1034,61406.000000,1724020.500000
65.005204,0,34226,35321,1040,62411.000000,1765196.500000
66.000204,0,35549,36681,1050,63406.000000,1832607.000000
67.000204,0,37408,38592,1077,64406.000000,1930414.000000
68.000204,0,39262,40439,1097,65406.000000,2026146.000000
69.000204,0,41023,42242,1114,66406.000000,2117080.500000
70.000204,0,42987,44254,1155,67406.000000,2221376.000000
71.000204,0,44816,46089,1187,68406.000000,2315795.500000
72.000204,0,46697,48040,1229,69406.000000,2414663.500000
73.000204,0,48628,50001,1273,70406.000000,2516815.000000
74.000204,0,50572,52054,1350,71406.000000,2619484.500000
75.000204,0,52255,53732,1409,72406.000000,2706871.000000
76.000204,0,53183,54638,1418,73406.000000,2753831.500000
77.000704,0,53807,55264,1423,74406.500000,2785390.500000
78.000204,0,54602,56084,1433,75406.000000,2825656.000000
79.000204,0,55869,57405,1444,76406.000000,2890621.500000
80.000204,0,57809,59395,1486,77406.000000,2993096.500000
81.000204,0,59535,61128,1504,78406.000000,3081187.500000
82.000204,0,61427,63101,1563,79406.000000,3181012.000000
83.000204,0,63393,65100,1604,80406.000000,3285248.500000
84.000204,0,65259,66985,1626,81406.000000,3380807.000000
85.000204,0,67212,68964,1648,82406.000000,3482669.000000
86.000204,0,69118,70891,1668,83406.000000,3580696.000000
87.000204,0,71079,72868,1685,84406.000000,3683140.500000
88.000204,0,73025,74853,1714,85406.000000,3785471.500000
89.000204,0,74957,76790,1741,86406.000000,3886109.000000
90.000204,0,76895,78765,1762,87406.000000,3986743.000000
91.000204,0,78821,80713,1800,88406.000000,4088578.000000
92.000204,0,80668,82588,1820,89406.000000,4183031.000000
93.000204,0,82623,84575,1861,90406.000000,4286908.000000
94.000204,0,84551,86534,1880,91406.000000,4387139.500000
95.000204,0,86474,88474,1902,92406.000000,4486623.500000
96.000204,0,88436,90481,1936,93406.000000,4590049.500000
97.000204,0,90348,92412,1962,94406.000000,4690009.000000
98.000204,0,92325,94405,1978,95406.000000,4794405.500000
99.000204,0,94183,96292,2018,96406.000000,4891852.000000
100.000204,0,96106,98247,2034,97406.000000,4990973.500000
101.000204,0,98015,100204,2092,98406.000000,5092703.500000
102.000204,0,99890,102099,2106,99406.000000,5188555.500000
103.000204,0,101855,104094,2141,100406.000000,5292166.000000
104.000204,0,103727,106009,2175,101406.000000,5388544.000000
105.000204,0,105704,108027,2218,102406.000000,5494214.000000
106.000204,0,107630,109984,2249,103406.000000,5595477.000000
107.000204,0,109583,111977,2305,104406.000000,5699539.000000
108.000204,0,111443,113862,2318,105406.000000,5794851.500000
109.000204,0,113384,115836,2356,106406.000000,5897091.500000
110.000204,0,115258,117741,2378,107406.000000,5993169.500000
111.000204,0,117223,119731,2403,108406.000000,6096006.000000
112.000204,0,119189,121729,2437,109406.000000,6200465.000000
113.000204,0,121113,123683,2462,110406.000000,6299579.000000
114.000204,0,123075,125667,2495,111406.000000,6402654.000000
115.000204,0,125013,127642,2532,112406.000000,6504087.500000
116.000204,0,126972,129640,2557,113406.000000,6607326.000000
117.000204,0,128871,131560,2594,114406.000000,6707146.000000
118.000204,0,130781,133492,2614,115406.000000,6805460.000000
119.000204,0,132656,135396,2631,116406.000000,6901670.000000
120.000204,0,134611,137378,2677,117406.000000,7006281.500000
121.000204,0,136415,139206,2690,118406.000000,7098467.500000
122.000204,0,138323,141144,2714,119406.000000,7197054.500000
123.000204,0,140301,143142,2735,120406.000000,7301933.000000
124.000204,0,142272,145168,2786,121406.000000,7406872.000000
125.000204,0,144216,147125,2809,122406.000000,7508732.500000
126.000204,0,146160,149102,2840,123406.000000,7611535.000000
127.000204,0,148037,150996,2856,124406.000000,7708207.000000
128.000204,0,150007,152985,2881,125406.000000,7812205.000000
129.000204,0,151962,154987,2924,126406.000000,7916947.000000
130.000204,0,153866,156913,2947,127406.000000,8014756.500000
131.000204,0,155778,158849,2967,128406.000000,8113082.000000
132.000204,0,157760,160863,2999,129406.000000,8219022.500000
133.000204,0,159729,162848,3018,130406.000000,8321897.000000
134.000204,0,161696,164836,3035,131406.000000,8425124.000000
135.000204,0,163683,166839,3054,132406.000000,8530320.000000
136.000204,0,165527,168712,3079,133406.000000,8625199.000000
137.000204,0,167502,170710,3106,134406.000000,8729696.000000
138.000204,0,169455,172714,3135,135406.000000,8832216.000000
