time,sender_number,packets_received,packets_sent,packets_lost,sending_duration,total_delay
1.000398,0,27,29,1,537.611633,1363.500000
1.000398,1,22,23,0,429.750000,1111.000000
2.000175,0,103,112,3,1037.500000,5209.500000
2.000175,1,93,100,1,929.638367,4699.500000
3.017175,0,218,228,4,1546.000000,11028.500000
3.017175,1,226,239,1,1438.138428,11435.000000
4.000175,0,370,378,5,2037.500000,18758.500000
4.000175,1,554,573,2,1929.638428,28141.152344
5.000675,0,463,475,6,2537.750000,23474.500000
5.000675,1,813,829,3,2429.888428,41259.652344
6.015675,0,537,547,7,3045.250000,27224.000000
6.015675,1,1047,1059,3,2937.388428,53106.152344
7.029175,0,581,592,9,3552.000000,29448.000000
7.029175,1,1283,1303,4,3444.138428,65062.652344
8.003175,0,673,694,9,4039.000000,34109.500000
8.003175,1,1579,1601,7,3931.138428,80061.148438
9.005175,0,1072,1105,13,4540.000000,54466.000000
9.005175,1,1993,2027,12,4432.138184,101407.148438
10.000175,0,1394,1414,19,5037.500000,70818.500000
10.000175,1,2296,2328,14,4929.638184,116814.648438
11.012675,0,1512,1536,20,5543.750000,76823.500000
11.012675,1,2588,2625,17,5435.888184,131614.156250
12.002675,0,1562,1583,20,6038.750000,79351.000000
12.002675,1,3078,3131,23,5930.888184,156551.156250
13.000175,0,1634,1661,22,6537.500000,83055.000000
13.000175,1,3942,4042,30,6429.638184,200783.656250
14.000175,0,1835,1898,44,7037.500000,93611.000000
14.000175,1,5479,5666,75,6929.638184,280576.156250
15.000175,0,2208,2594,328,7537.500000,114118.500000
15.000175,1,7084,7693,481,7429.638184,368550.656250
16.000175,0,2724,3763,996,8037.500000,142457.500000
16.000175,1,8547,10272,1587,7929.638184,449070.656250
17.000175,0,3155,4615,1405,8537.500000,166140.500000
17.000175,1,10102,12408,2202,8429.638672,534129.625000
18.000175,0,3557,5632,2041,9037.500000,188159.500000
18.000175,1,11680,14172,2423,8929.638672,620189.625000
19.002675,0,4018,6098,2050,9538.750000,211728.000000
19.002675,1,12636,15098,2434,9430.888672,669208.125000
20.000175,0,4573,6647,2056,10037.500000,240026.500000
20.000175,1,12864,15302,2435,9929.638672,680757.125000
21.011675,0,4880,6946,2056,10543.250000,255659.500000
21.011675,1,12982,15430,2435,10435.388672,686734.625000
22.001675,0,4939,6999,2057,11038.250000,258645.500000
22.001675,1,13358,15814,2440,10930.388672,705821.625000
23.016175,0,5014,7079,2057,11545.500000,262448.500000
23.016175,1,13555,16006,2444,11437.638672,715781.125000
24.003175,0,5101,7160,2057,12039.000000,266860.500000
24.003175,1,13650,16095,2444,11931.138672,720583.125000
25.015175,0,5134,7193,2057,12545.000000,268530.500000
25.015175,1,13690,16136,2444,12437.138672,722603.125000
26.007675,0,5187,7253,2057,13041.250000,271217.000000
26.007675,1,13757,16206,2445,12933.388672,725993.125000
27.021675,0,5406,7478,2057,13548.250000,282363.000000
27.021675,1,13827,16276,2447,13440.388672,729533.625000
28.003675,0,5570,7636,2059,14039.250000,290709.500000
28.003675,1,13861,16309,2447,13931.388672,731252.125000
29.001175,0,5783,7863,2059,14538.000000,301586.500000
29.001175,1,13894,16343,2448,14430.138672,732921.625000
30.032675,0,5897,7959,2060,15053.750000,307381.000000
30.032675,1,13947,16398,2448,14945.888672,735613.625000
31.000175,0,5997,8067,2063,15537.500000,312453.000000
31.000175,1,13989,16441,2448,15429.638672,737745.625000
32.012675,0,6114,8182,2063,16043.750000,318384.500000
32.012675,1,14066,16516,2449,15935.888672,741644.625000
33.024675,0,6193,8266,2064,16549.750000,322389.500000
33.024675,1,14094,16544,2449,16441.888672,743064.625000
34.000175,0,6334,8418,2066,17037.500000,329579.000000
34.000175,1,14138,16589,2449,16929.638672,745305.625000
35.008675,0,6601,8694,2066,17541.750000,343195.500000
35.008675,1,14180,16633,2449,17433.888672,747455.125000
36.022175,0,7048,9151,2073,18048.500000,366011.000000
36.022175,1,14301,16760,2449,17940.638672,753640.625000
37.002175,0,7556,9663,2081,18538.500000,391930.000000
37.002175,1,14481,16939,2450,18430.638672,762878.125000
38.019175,0,7767,9856,2083,19047.000000,402621.000000
38.019175,1,14791,17276,2455,18939.138672,778642.625000
39.000175,0,7899,9985,2085,19537.500000,409316.000000
39.000175,1,15284,17769,2460,19429.638672,803687.625000
40.003175,0,8140,10251,2091,20039.000000,421649.000000
40.003175,1,15811,18308,2466,19931.138672,830711.625000
41.000175,0,8769,10929,2104,20537.500000,454012.500000
41.000175,1,16430,18934,2474,20429.638672,862690.625000
42.000175,0,9890,12122,2155,21037.500000,512633.000000
42.000175,1,17077,19604,2483,20929.638672,896772.625000
43.000175,0,10896,13333,2363,21537.500000,566776.000000
43.000175,1,18032,20694,2590,21429.638672,948312.125000
44.000175,0,11866,14678,2759,22037.500000,619108.000000
44.000175,1,19017,21804,2729,21929.638672,1001309.125000
45.000175,0,12646,15516,2812,22537.500000,660531.500000
45.000175,1,20137,23002,2797,22429.638672,1060496.125000
46.000175,0,13267,16165,2854,23037.500000,692982.000000
46.000175,1,21126,24002,2831,22929.638672,1111717.125000
47.000175,0,13765,16645,2858,23537.500000,718488.000000
47.000175,1,21961,24845,2839,23429.638672,1154371.125000
48.000175,0,14185,17072,2868,24037.500000,740027.500000
48.000175,1,22896,25817,2852,23929.638672,1202145.625000
49.000175,0,14725,17659,2903,24537.500000,768602.000000
49.000175,1,24255,27228,2905,24429.638672,1274056.125000
50.000175,0,15543,18795,3180,25037.500000,813166.500000
50.000175,1,25415,28509,3040,24929.638672,1337292.625000
51.000175,0,16596,20150,3476,25537.500000,870529.000000
51.000175,1,26350,29545,3149,25429.638672,1388431.125000
52.000175,0,17642,21465,3771,26037.500000,927147.000000
