time,sender_number,packets_received,packets_sent,packets_lost,sending_duration,total_delay
1.032801,0,2,3,0,101.000000,101.000000
2.043301,0,81,90,0,1111.500000,4096.500000
3.005301,0,197,201,0,2073.500000,9962.500000
4.020301,0,300,309,0,3088.500000,15175.000000
5.032801,0,602,618,0,4101.000000,30532.000000
6.000801,0,1090,1120,0,5069.000000,55390.500000
7.019801,0,1604,1636,0,6088.000000,81461.500000
8.000301,0,2123,2145,0,7068.500000,107743.000000
9.000301,0,2502,2527,0,8068.500000,126958.000000
10.012801,0,2894,2909,0,9081.000000,146791.500000
11.000801,0,3262,3280,0,10069.000000,165431.000000
12.006301,0,3681,3701,0,11074.500000,186701.000000
13.017301,0,4268,4300,0,12085.500000,216582.000000
14.001301,0,4963,4993,0,13069.500000,251859.500000
15.000301,0,5764,5817,0,14068.500000,292594.000000
16.000301,0,7021,7100,0,15068.500000,356942.500000
17.000301,0,8879,9134,119,16068.500000,455510.000000
18.000301,0,10879,11768,742,17068.500000,565887.500000
19.000301,0,12879,14268,1281,18068.500000,675836.000000
20.001801,0,14314,15663,1281,19070.000000,749124.000000
21.000301,0,15448,16794,1281,20068.500000,806605.000000
22.000301,0,16809,18172,1281,21068.500000,875903.500000
23.000301,0,18554,20015,1318,22068.500000,966766.000000
24.000301,0,20554,23174,2435,23068.500000,1077410.500000
25.000801,0,22361,25341,2926,24069.000000,1174035.500000
26.003801,0,22881,25822,2926,25072.000000,1200330.000000
27.033301,0,23142,26071,2926,26101.500000,1213534.500000
28.000301,0,23229,26158,2926,27068.500000,1217941.000000
29.011301,0,23270,26198,2926,28079.500000,1220014.000000
30.024801,0,23303,26230,2926,29093.000000,1221681.500000
31.038301,0,23344,26273,2926,30106.500000,1223754.500000
32.000301,0,23410,26337,2926,31068.500000,1227093.000000
33.013801,0,23457,26384,2926,32082.000000,1229470.000000
34.025301,0,23486,26415,2926,33093.500000,1230935.500000
35.036301,0,23528,26461,2926,34104.500000,1233058.000000
36.000301,0,23688,26623,2926,35068.500000,1241179.500000
