time,sender_number,packets_received,packets_sent,packets_lost,sending_duration,total_delay
1.018844,0,33,35,0,911.000000,1667.500000
1.018844,1,0,0,0,0.000000,0.000000
2.030344,0,84,87,0,1518.750000,4244.500000
2.030344,1,30,34,0,396.713409,1515.500000
3.007917,0,135,137,0,2007.536621,6821.500000
3.007917,1,88,97,0,885.500000,4453.000000
4.005844,0,171,172,0,2506.500000,8640.000000
4.005844,1,318,338,0,1384.463379,16115.500000
5.000417,0,219,222,0,3003.786621,11065.500000
5.000417,1,777,796,0,1881.750000,39483.500000
6.000417,0,328,334,0,3503.786621,16579.000000
6.000417,1,1272,1305,0,2381.750000,64566.500000
7.000417,0,417,419,0,4003.786621,21104.439453
7.000417,1,2106,2152,0,2881.750000,107099.500000
8.000417,0,471,473,0,4503.786621,23913.939453
8.000417,1,3407,3475,0,3381.750000,173676.000000
9.000417,0,500,502,1,5003.786621,25445.439453
9.000417,1,5225,5575,201,3881.750000,270189.500000
10.000417,0,518,522,3,5503.786621,26432.439453
10.000417,1,7205,8035,723,4381.750000,378599.500000
11.000417,0,528,534,3,6003.786621,26972.939453
11.000417,1,9189,10184,872,4881.750000,485782.000000
12.000417,0,583,594,6,6503.786621,29953.439453
12.000417,1,11134,12511,1261,5381.750000,591969.000000
13.000417,0,626,634,6,7003.786621,32235.939453
13.000417,1,13007,14388,1286,5881.750000,689656.500000
14.000417,0,655,667,9,7503.786621,33803.937500
14.000417,1,14955,16730,1620,6381.750000,794606.000000
15.000417,0,692,708,13,8003.786621,35797.937500
15.000417,1,16905,19076,2032,6881.750000,900336.000000
16.000417,0,716,736,17,8503.786133,37109.437500
16.000417,1,18881,21418,2388,7381.750000,1008168.000000
17.000417,0,769,811,34,9003.786133,40006.937500
17.000417,1,20826,23856,2915,7881.750000,1114250.500000
18.000417,0,866,902,34,9503.786133,45179.437500
18.000417,1,22613,25671,2991,8381.750000,1208316.000000
19.000417,0,919,957,34,10003.786133,47868.937500
19.000417,1,23780,26848,2991,8881.750000,1267809.000000
20.000417,0,969,1006,34,10503.786133,50472.437500
20.000417,1,25184,28275,2993,9381.750000,1339986.500000
21.000417,0,1044,1084,36,11003.786133,54510.937500
21.000417,1,27085,30367,3202,9881.750000,1442117.500000
22.000417,0,1109,1148,36,11503.786133,57831.937500
22.000417,1,28737,32030,3202,10381.750000,1526684.000000
23.000417,0,1141,1184,38,12003.786133,59538.437500
23.000417,1,30651,34075,3307,10881.750000,1628783.000000
24.000417,0,1178,1218,38,12503.786133,61501.437500
24.000417,1,32559,36050,3414,11381.750000,1730448.500000
25.000417,0,1232,1275,38,13003.786133,64263.437500
25.000417,1,33765,37234,3414,11881.750000,1791981.500000
26.000417,0,1337,1385,38,13503.786133,69613.437500
26.000417,1,34716,38165,3414,12381.750000,1840280.000000
27.004417,0,1585,1633,38,14005.786133,82250.437500
27.004417,1,35355,38804,3414,12883.750000,1872705.000000
28.000417,0,1850,1909,38,14503.786133,95784.937500
28.000417,1,36304,39815,3414,13381.750000,1921490.500000
29.000417,0,2253,2467,178,15003.786133,118017.937500
29.000417,1,37901,42623,4486,13881.750000,2009490.500000
30.000417,0,2674,3179,456,15503.786133,141273.937500
30.000417,1,39480,46927,7211,14381.750000,2096844.000000
31.000417,0,3155,3890,692,16003.786133,167837.937500
31.000417,1,40999,49968,8891,14881.750000,2180358.000000
32.000417,0,3925,4665,703,16503.787109,208121.937500
32.000417,1,42157,51174,8960,15381.750000,2241447.000000
33.000417,0,4505,5235,703,17003.787109,237853.437500
33.000417,1,43144,52147,8961,15881.750000,2291895.000000
34.000417,0,5085,5819,703,17503.787109,267339.437500
34.000417,1,44007,53019,8961,16381.750000,2335996.500000
35.000417,0,5700,6429,704,18003.787109,298873.937500
35.000417,1,45114,54161,8963,16881.750000,2392918.000000
36.000417,0,6059,6808,739,18503.787109,318456.437500
36.000417,1,46755,56241,9367,17381.750000,2482488.000000
37.000417,0,6175,6925,741,19003.787109,324639.937500
37.000417,1,48578,58236,9570,17881.750000,2579619.000000
38.000417,0,6326,7076,741,19503.787109,332357.937500
38.000417,1,50095,59740,9571,18381.750000,2657474.500000
39.000417,0,6509,7256,741,20003.787109,341772.437500
39.000417,1,51327,60973,9571,18881.750000,2720409.500000
40.000417,0,6546,7289,741,20503.787109,343756.437500
40.000417,1,53194,63046,9739,19381.750000,2820288.000000
41.000417,0,6550,7294,741,21003.787109,343970.937500
41.000417,1,55158,65068,9785,19881.750000,2924745.500000
42.000417,0,6609,7361,743,21503.787109,347137.437500
42.000417,1,57082,67098,9914,20381.750000,3028376.000000
43.000417,0,6749,7508,749,22003.787109,354533.437500
43.000417,1,58851,68889,9959,20881.750000,3122007.000000
44.000417,0,6951,7715,751,22503.787109,365312.437500
44.000417,1,60604,70756,10042,21381.750000,3215344.000000
45.000417,0,7202,7977,754,23003.787109,378547.437500
45.000417,1,62290,72497,10123,21881.750000,3304779.500000
46.000417,0,7585,8367,763,23503.787109,399014.937500
46.000417,1,63880,74217,10238,22381.750000,3389960.000000
47.000417,0,7795,8571,764,24003.787109,410083.937500
47.000417,1,65588,75936,10277,22881.750000,3480415.500000
48.000417,0,8011,8790,766,24503.787109,421387.437500
48.000417,1,67198,77663,10360,23381.750000,3565536.500000
49.000417,0,8157,8939,774,25003.787109,429304.437500
49.000417,1,69039,79723,10537,23881.750000,3664610.000000
50.000417,0,8275,9062,775,25503.787109,435468.937500
50.000417,1,70813,81555,10674,24381.750000,3757994.500000
51.000417,0,8532,9320,775,26003.787109,448576.937500
