time,sender_number,packets_received,packets_sent,packets_lost,sending_duration,total_delay
1.019947,0,35,40,1,455.250000,1769.000000
1.019947,1,38,40,0,528.582031,1920.000000
2.031447,0,120,126,1,961.000000,6067.500000
2.031447,1,86,87,0,1034.332031,4347.000000
3.000447,0,292,300,2,1445.500000,14791.000000
3.000447,1,126,129,1,1518.832031,6370.500000
4.010947,0,361,367,3,1950.750000,18277.500000
4.010947,1,177,181,2,2024.082031,8950.500000
5.025447,0,409,416,4,2458.000000,20703.500000
5.025447,1,228,233,2,2531.332031,11528.000000
6.037447,0,457,462,4,2964.000000,23128.000000
6.037447,1,299,309,3,3037.332031,15119.500000
7.005283,0,467,472,4,3447.917969,23633.000000
7.005283,1,372,379,3,3521.250000,18808.500000
8.001447,0,496,503,4,3946.000000,25099.500000
8.001447,1,541,563,5,4019.332031,27385.000000
9.013947,0,662,681,5,4452.250000,33516.500000
9.013947,1,873,905,7,4525.582031,44218.500000
10.005283,0,894,913,6,4947.917969,45261.500000
10.005283,1,1219,1251,16,5021.250000,61797.500000
11.000447,0,1146,1166,6,5445.500000,58012.000000
11.000447,1,1452,1471,17,5518.832031,73591.500000
12.004947,0,1336,1349,6,5947.750000,67622.500000
12.004947,1,1488,1506,17,6021.082031,75409.500000
13.004783,0,1407,1418,6,6447.667969,71211.500000
13.004783,1,1524,1543,17,6521.000000,77229.500000
14.016283,0,1458,1467,6,6953.417969,73789.500000
14.016283,1,1593,1613,17,7026.750000,80717.500000
15.029283,0,1464,1472,6,7459.917969,74092.500000
15.029283,1,1693,1721,18,7533.250000,85787.500000
16.000283,0,1493,1503,6,7945.417969,75558.000000
16.000283,1,1981,2022,21,8018.750000,100400.000000
17.003283,0,1539,1549,6,8446.917969,77893.335938
17.003283,1,2253,2290,21,8520.250000,114171.000000
18.022783,0,1603,1615,6,8956.667969,81138.335938
18.022783,1,2602,2639,27,9030.000000,131836.500000
19.000283,0,1691,1707,8,9445.417969,85591.335938
19.000283,1,2696,2728,28,9518.750000,136588.500000
20.001283,0,1765,1776,8,9945.917969,89330.335938
20.001283,1,2804,2840,29,10019.250000,142055.000000
21.014283,0,1804,1819,8,10452.417969,91301.335938
21.014283,1,2985,3029,31,10525.750000,151226.500000
22.028283,0,1964,1983,10,10959.417969,99443.335938
22.028283,1,3330,3392,33,11032.750000,168759.500000
23.000283,0,2099,2118,12,11445.417969,106303.835938
23.000283,1,3956,4033,43,11518.750000,200585.000000
24.002783,0,2142,2158,12,11946.667969,108484.835938
24.002783,1,4609,4690,49,12020.000000,233712.500000
25.000283,0,2205,2227,12,12445.417969,111728.835938
25.000283,1,5410,5529,58,12518.750000,274585.500000
