time,sender_number,packets_received,packets_sent,packets_lost,sending_duration,total_delay
1.008347,0,16,17,0,253.548889,808.000000
1.008347,1,0,2,0,7.958809,0.000000
1.008347,2,44,46,0,415.142487,2224.500000
1.008347,3,26,27,0,198.375000,1314.500000
2.005575,0,49,51,0,502.855957,2475.500000
2.005575,1,28,30,0,257.265900,1414.123535
2.005575,2,87,91,0,664.449585,4397.623535
2.005575,3,63,65,0,447.682098,3183.000000
3.000012,0,92,94,0,751.465088,4648.500000
3.000012,1,78,85,0,505.875000,3947.623535
3.000012,2,133,136,0,913.058655,6724.123535
3.000012,3,95,97,0,696.291199,4799.000000
4.009012,0,146,148,0,1003.715088,7380.500000
4.009012,1,137,139,0,758.125000,6929.623535
4.009012,2,175,178,0,1165.308716,8849.124023
4.009012,3,138,139,0,948.541199,6971.000000
5.002347,0,185,187,0,1252.048828,9351.500000
5.002347,1,190,192,0,1006.458801,9607.624023
5.002347,2,231,233,0,1413.642456,11678.624023
5.002347,3,179,182,0,1196.875000,9043.000000
6.002575,0,312,325,0,1502.105957,15796.500000
6.002575,1,276,283,0,1256.515869,13964.624023
6.002575,2,307,310,0,1663.699585,15530.624023
6.002575,3,220,222,0,1446.932129,11114.000000
7.001012,0,601,614,0,1751.715088,30453.000000
7.001012,1,488,507,0,1506.125000,24729.623047
7.001012,2,341,343,0,1913.308716,17262.623047
7.001012,3,363,375,0,1696.541138,18354.000000
8.000012,0,1248,1298,4,2001.465088,63649.609375
8.000012,1,859,873,0,1755.875000,43588.125000
8.000012,2,382,383,0,2163.058594,19361.623047
8.000012,3,550,554,0,1946.291138,27996.982422
9.000012,0,1990,2030,4,2251.465088,101303.609375
9.000012,1,1023,1026,0,2005.875000,51905.125000
9.000012,2,417,419,0,2413.058594,21129.123047
9.000012,3,592,594,0,2196.291260,30132.482422
10.000012,0,2677,2724,4,2501.465088,136181.609375
10.000012,1,1060,1062,0,2255.875000,53788.125000
10.000012,2,456,460,0,2663.058594,23098.623047
10.000012,3,692,699,0,2446.291260,35244.984375
11.000012,0,3448,3501,4,2751.465088,175271.609375
11.000012,1,1108,1112,0,2505.875000,56228.125000
11.000012,2,597,606,0,2913.058594,30273.123047
11.000012,3,798,801,0,2696.291260,40644.484375
12.000012,0,4818,4925,23,3001.465088,246809.109375
12.000012,1,1177,1186,1,2755.875000,59829.125000
12.000012,2,884,902,1,3163.058594,45273.625000
12.000012,3,841,845,2,2946.291260,42878.484375
13.000012,0,6398,7127,579,3251.465088,333844.625000
13.000012,1,1279,1306,23,3005.875000,65440.625000
13.000012,2,1168,1251,60,3413.058594,60934.625000
13.000012,3,875,881,4,3196.291260,44753.484375
14.000012,0,7991,10570,2368,3501.465088,421855.125000
14.000012,1,1288,1313,23,3255.875000,65936.125000
14.000012,2,1520,1652,106,3663.058594,80352.625000
14.000012,3,921,955,28,3446.291260,47292.484375
15.000012,0,9620,14211,4404,3751.465088,511820.625000
15.000012,1,1295,1323,25,3505.875000,66324.125000
15.000012,2,1828,2217,349,3913.058594,97417.125000
15.000012,3,977,1050,68,3696.291260,50399.984375
16.000012,0,11228,17911,6486,4001.465088,600541.625000
16.000012,1,1295,1324,25,3755.875000,66324.125000
16.000012,2,2139,2874,698,4163.058594,114652.625000
16.000012,3,1058,1173,106,3946.291260,54866.484375
17.000012,0,12590,20905,8173,4251.464844,675754.125000
17.000012,1,1306,1337,26,4005.875000,66925.625000
17.000012,2,2600,3465,835,4413.058594,140057.125000
17.000012,3,1224,1369,132,4196.291016,64014.484375
18.000012,0,14030,23214,9075,4501.464844,755182.625000
18.000012,1,1341,1377,30,4255.875000,68853.625000
18.000012,2,3012,3975,940,4663.058594,162794.625000
18.000012,3,1337,1495,152,4446.291016,70254.984375
19.000012,0,15460,24697,9168,4751.464844,832315.625000
19.000012,1,1433,1481,37,4505.875000,73826.625000
19.000012,2,3294,4257,952,4913.058594,178104.125000
19.000012,3,1528,1712,159,4696.291016,80602.984375
20.000012,0,16379,25603,9182,5001.464844,881723.625000
20.000012,1,1561,1620,43,4755.875000,80750.125000
20.000012,2,3489,4456,957,5163.058594,188649.125000
20.000012,3,2281,2519,179,4946.291016,120991.484375
21.000012,0,17007,26236,9201,5251.464844,915510.125000
21.000012,1,1688,1752,53,5005.875000,87643.625000
21.000012,2,3647,4625,970,5413.058594,197188.625000
21.000012,3,3365,3668,247,5196.291016,179580.484375
22.000012,0,17392,26603,9201,5501.464844,935233.125000
22.000012,1,1762,1822,53,5255.875000,91439.625000
22.000012,2,3753,4727,970,5663.058594,202645.125000
22.000012,3,4574,4885,247,5446.291016,241293.984375
23.000012,0,17598,26821,9206,5751.464844,946101.625000
23.000012,1,1821,1881,53,5505.875000,94548.625000
23.000012,2,3872,4857,978,5913.058594,208956.625000
23.000012,3,6077,6553,354,5696.291016,320805.968750
24.000012,0,17814,27044,9220,6001.464844,957834.625000
24.000012,1,1849,1908,54,5755.875000,96064.125000
24.000012,2,3938,4918,979,6163.058594,212560.625000
24.000012,3,7763,8633,781,5946.291016,412477.468750
25.000012,0,17918,27142,9220,6251.464844,963184.125000
25.000012,1,1901,1961,54,6005.875000,98737.625000
25.000012,2,3973,4954,979,6413.058594,214358.125000
25.000012,3,9362,10232,781,6196.291016,494424.968750
26.000012,0,17972,27196,9221,6501.464844,966075.125000
26.000012,1,2010,2091,67,6255.875000,104585.625000
26.000012,2,4029,5009,979,6663.058594,217358.125000
26.000012,3,11119,12109,901,6446.291016,588355.500000
27.000012,0,18009,27231,9221,6751.464844,968004.125000
27.000012,1,2192,2273,71,6505.875000,114013.625000
27.000012,2,4065,5048,979,6913.058594,219204.125000
27.000012,3,12623,13589,905,6696.291016,665742.000000
28.000512,0,18057,27280,9221,7001.589844,970452.125000
28.000512,1,2248,2324,71,6756.000000,116882.625000
28.000512,2,4135,5116,979,7163.183594,222796.625000
28.000512,3,13672,14614,905,6946.416016,719253.000000
29.000012,0,18089,27312,9221,7251.464844,972080.625000
29.000012,1,2286,2367,71,7005.875000,118821.125000
29.000012,2,4186,5168,979,7413.058594,225389.125000
29.000012,3,14511,15465,905,7196.291016,761944.000000
30.004512,0,18132,27355,9221,7502.589844,974270.625000
30.004512,1,2425,2502,71,7257.000000,125887.625000
30.004512,2,4238,5220,979,7664.183594,228039.625000
30.004512,3,15654,16622,905,7447.416016,820223.000000
