time,sender_number,packets_received,packets_sent,packets_lost,sending_duration,total_delay
1.037391,0,17,20,1,707.500000,858.500000
2.000391,0,66,72,2,1670.500000,3335.000000
3.011891,0,135,140,3,2682.000000,6823.500000
4.023891,0,189,193,3,3694.000000,9553.500000
5.036891,0,233,239,3,4707.000000,11777.000000
6.047891,0,278,282,3,5718.000000,14050.000000
7.008391,0,308,314,3,6678.500000,15565.000000
8.020391,0,357,362,3,7690.500000,18040.500000
9.033391,0,428,440,4,8703.500000,21630.000000
10.000891,0,563,572,6,9671.000000,28465.000000
11.016891,0,641,650,6,10687.000000,32411.000000
12.032891,0,723,732,7,11703.000000,36560.000000
13.045891,0,764,772,7,12716.000000,38632.500000
14.007391,0,790,798,7,13677.500000,39945.500000
15.020891,0,852,863,7,14691.000000,43082.000000
16.031891,0,925,937,8,15702.000000,46774.500000
17.042391,0,1003,1023,10,16712.500000,50724.500000
18.008391,0,1247,1278,15,17678.500000,63117.500000
19.026891,0,1563,1593,16,18697.000000,79163.000000
20.000391,0,1997,2054,19,19670.500000,101196.500000
21.001391,0,2951,3026,26,20671.500000,149866.500000
22.000391,0,3986,4080,40,21670.500000,202385.500000
23.000391,0,5167,5301,59,22670.500000,262299.500000
24.000391,0,6561,6716,78,23670.500000,332997.500000
25.000391,0,8243,8439,97,24670.500000,419274.000000
26.000391,0,9867,10063,124,25670.500000,502067.500000
27.000391,0,11187,11398,142,26670.500000,569106.000000
28.002391,0,12492,12714,160,27672.500000,635427.500000
29.000391,0,13988,14256,166,28670.500000,711624.500000
30.000391,0,15972,17240,1066,29670.500000,820703.500000
31.000391,0,17953,20782,2642,30670.500000,930075.500000
32.000391,0,19927,24011,3939,31670.500000,1039032.500000
33.000391,0,21716,25889,4113,32670.500000,1132695.500000
34.000391,0,22408,26559,4124,33670.500000,1167732.000000
35.009891,0,22786,26921,4127,34680.000000,1186911.000000
36.023391,0,22845,26976,4127,35693.500000,1189901.500000
37.037891,0,22901,27030,4127,36708.000000,1192736.500000
38.000391,0,23015,27148,4127,37670.500000,1198514.500000
39.014891,0,23103,27232,4127,38685.000000,1202975.500000
40.025891,0,23190,27325,4127,39696.000000,1207384.000000
41.044391,0,23283,27413,4127,40714.500000,1212094.000000
42.009391,0,23408,27538,4128,41679.500000,1218420.000000
